School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Oatlands Primary School,Narre Warren,School Pride and Sports Fund,School upgrades,145.3156395,-38.006904
Oberon High School,Armstrong Creek,New School,New schools,144.3643883,-38.2306117
Oberon Primary School,Belmont,Upgrade and Modernisation,School upgrades,144.3422838,-38.1794802
Oberon Primary School Kindergarten (interim name),Belmont,Modular Kindergarten,Early childhood projects,144.3422838,-38.1794802
Ocean Grove Primary School,Ocean Grove,Inclusive Schools Fund - Round 6 | Upgrade and Modernisation,School upgrades,144.5217687,-38.2638198
Officer Brunt Road Specialist School (interim name),,New School,New schools,145.3887511,-38.0610705
Officer Primary School,Officer,School Pride and Sports Fund,School upgrades,145.4097015,-38.0582637
Officer Secondary College,Officer,Minor Capital Works Fund,School upgrades,145.4116256,-38.07041359999999
Officer Specialist School,Officer,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.4112327,-38.0714435
Old Orchard Primary School,Blackburn North,Minor Capital Works Fund,School upgrades,145.1523865,-37.8071677
Olive Philips Kindergarten,Beaumaris,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.0397786,-37.9908672
Olympic Avenue Kindergarten,Cheltenham,Building Blocks Improvement Grant | Building Blocks Inclusion Grant - Buildings and Playgrounds | Early Childhood Refurbishment and Minor Works,Early childhood projects,145.046676,-37.961882
One Tree Altona North Children’s Centre,Altona North,Building Blocks Inclusion Grant | Building Blocks Capacity Grant – Expansion,Early childhood projects,144.8496488,-37.8427075
Orbost Community College,Orbost,Upgrade and Modernisation,School upgrades,148.467102,-37.7045173
Orbost North Primary School,Orbost,Upgrade and Modernisation,School upgrades,148.4662691,-37.6978365
Orbost Primary School,Orbost,Minor Capital Works Fund,School upgrades,148.4572841,-37.7079984
Orbost Secondary College,Orbost,Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,148.4572112,-37.6975525
Orchard Grove Primary School,Blackburn South,Upgrade and Modernisation | Minor Capital Works Fund - Round 2,School upgrades,145.1481814,-37.8404105
Orchard Park Primary School,Officer,Inclusive Schools Fund – Round 8 | New School,"School upgrades, New schools",145.3956127,-38.0545944
Orchard Road Community & Early Learning Centre,Doreen,Building Blocks Improvement Grant | New Early Learning Facility,Early childhood projects,145.1263764,-37.6151797
Ormond Primary School,Ormond,Upgrade and Modernisation – synthetic turf replacement | Upgrade and Modernisation | School Improvement Fund,School upgrades,145.0338999,-37.9067729
,,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,143.3906074,-36.9847807
Osborne Primary School,Mount Martha,Minor Capital Works Fund | Permanent Modular School Buildings Program | Inclusive Schools Fund | School Pride and Sports Fund,School upgrades,145.0406987,-38.2571277
Oscar Romero Catholic Primary School (Craigieburn West),Craigieburn West,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund,Non-government grants,144.8959612,-37.5820751
Oscar Romero Children's Hub (Craigieburn),Craigieburn West,Building Blocks Partnership,Early childhood projects,144.8959612,-37.5820751
Our Lady Help of Christians School (Brunswick East),Brunswick East,Non-Government Schools Capital Fund - 2022–23,Non-government grants,144.9778236,-37.7763599
Our Lady Help of Christians School (Warrnambool East),Warrnambool East,Building Fund for Non-Government Schools - Catholic,Non-government grants,142.519862,-38.3851299
Our Lady Help of Christians School (Wendouree),Wendouree,Building Fund for Non-Government Schools – Catholic,Non-government grants,143.825147,-37.5253278
Our Lady Star of the Sea Primary School,Cowes,Non-Government Schools Capital Fund - 2019-20 | Non-Government Schools Capital Fund,Non-government grants,145.2400206,-38.4641235
Our Lady Star of the Sea School,Ocean Grove,Non-Government Schools Capital Fund,Non-government grants,144.539697,-38.2605082
Our Lady of Fatima School,Rosebud,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.897107,-38.3699948
Our Lady of Lourdes School (Bayswater),Bayswater,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.2659903,-37.8488716
Our Lady of the Assumption School,Cheltham,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.0595235,-37.9654974
Our Lady of the Immaculate Conception School,Sunshine,Non-Government Schools Capital Fund - 2021-22,Non-government grants,144.8349869,-37.7892556
Our Lady of the Sacred Heart College,Bentleigh,Non-Government Schools Capital Fund,Non-government grants,145.039994,-37.9248743
Our Lady of the Southern Cross,Manor Lakes,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.6066003,-37.8747318
Our Lady of the Way Catholic Primary School,Wallan East,Building Fund for Non-Government Schools – Catholic | Non-Government Schools Capital Fund - 2021-22,Non-government grants,144.9998772,-37.424328
Our Lady of the Way Children's Hub (Wallan),Wallan East,Building Blocks Partnership,Early childhood projects,144.9998772,-37.424328
Our Lady's School,Wangaratta,Non-Government Schools Capital Fund,Non-government grants,146.3223683,-36.3724701
Ouyen P-12 College,Ouyen,Upgrade and Modernisation,School upgrades,142.3222107,-35.0645278
Oxley Kids,Chirnside Park,Building Blocks Capacity Grant - Expansion,Early childhood projects,145.3007234,-37.7625408
Oxley Primary School,Oxley,Schools Upgrade Fund | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,146.361049,-36.4416113
Padua College,Mornington,Non-Government Schools Capital Fund,Non-government grants,145.0702598,-38.21812449999999
Pakenham Consolidated School,Pakenham,Upgrade and Modernisation,School upgrades,145.4649377,-38.0652741
Pakenham Hills Primary School,Pakenham,Minor Capital Works Fund | Shared Facilities Fund,School upgrades,145.4954833,-38.0606193
Pakenham Kindergarten,Pakenham,Early Learning Facility Upgrade,Early childhood projects,145.478239,-38.075151
Pakenham Lakeside Primary School,Pakenham,Minor Capital Works Fund,School upgrades,145.4376259,-38.0684802
Pakenham Primary School,Pakenham,New School,New schools,145.5104936,-38.0639086
Pakenham Secondary College,Pakenham,Upgrade and Modernisation - Classrooms,School upgrades,145.47049,-38.069788
,,Minor Capital Works Fund Inclusive Schools Fund,School upgrades,143.3906074,-36.9847807
Panorama Heights Preschool,Montmorency,Building Blocks Improvement Grant | Early Childhood Refurbishment and Minor Works | Building Blocks Improvement Grant - Minor Infrastructure,Early childhood projects,145.1301359,-37.7247369
Park Lane Preschool,Traralgon,Building Blocks Partnership,Early childhood projects,146.552952,-38.186263
Park Ridge Primary School,Rowville,Minor Capital Works Fund – 2022–23 State Budget | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.2624646,-37.9183526
Park Street Childcare and Kindergarten Cooperative,Brunswick,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9621239,-37.7670402
Parkdale Family and Children's Centre,Mordialloc,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0940302,-37.9995418
Parkdale Preschool,Parkdale,Building Blocks Improvement Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0753347,-37.9933989
Parkdale Primary School,Parkdale,School Improvement Fund,School upgrades,145.0828408,-37.9927608
Parkdale Secondary College,Mordialloc,Upgrade and Modernisation,School upgrades,145.0936745,-37.9903879
Parkhill Primary School,Ashwood,"Upgrade and Modernisation | Upgrade and Modernisation – gymnasium, music and science spaces | Upgrade and Modernisation – new arts space and landscaping",School upgrades,145.1066959,-37.8632068
Parklands Preschool,Morwell,Early Childhood Refurbishment and Minor Works,Early childhood projects,146.4335938,-38.2221403
Parkmore Primary School,Forest Hill,Inclusive Schools Fund - Round 6,School upgrades,145.1769468,-37.8439445
Parktone Primary School,Parkdale,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation | Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.0883216,-37.9870264
Parkwood Green Primary School,Hillside,Upgrade and Modernisation,School upgrades,144.7446339,-37.6990941
Pascoe Vale Community Centre,Pascoe Vale,Building Blocks Capacity Grant,Early childhood projects,144.932724,-37.737269
Pascoe Vale Girls Secondary College,Pascoe Vale,Upgrade and Modernisation - Arts and Technology Centre | Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,144.9346136,-37.7177734
Pascoe Vale North Primary School,Pascoe Vale,Inclusive Schools Fund,School upgrades,144.9485903,-37.7213384
Pascoe Vale Primary School,Pascoe Vale,Upgrade and Modernisation – Gymnasium | Upgrade and Modernisation - Next Stage | Upgrade and Modernisation - Building A,School upgrades,144.9374781,-37.7312331
Pascoe Vale South Primary School,Pascoe Vale South,Upgrade and Modernisation | Upgrade and Modernisation - Stage 2,School upgrades,144.9358039,-37.7457437
Patterson Lakes Primary School,Patterson Lakes,Upgrade and Modernisation,School upgrades,145.1445038,-38.0695851
Pax Hill Kindergarten,Traralgon,Building Blocks Partnership,Early childhood projects,146.5268179,-38.1886492
Paynesville Primary School,Paynesville,Upgrade and Modernisation,School upgrades,147.7149618,-37.91179229999999
Pembroke Primary School,Mooroolbark,Inclusive Schools Fund - Round 6,School upgrades,145.3271942,-37.7965698
Penders Grove Primary School,Thornbury,Capital Works Fund | Inclusive Schools Fund,School upgrades,145.0143392,-37.7547982
Peninsula Specialist College,Dromana,Upgrade and Modernisation,School upgrades,145.0106184,-38.3418087
Penola Catholic College,Broadmeadows,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.9194585,-37.6888466
Penshurst Primary School,Penshurst,Minor Capital Works Fund,School upgrades,142.2913246,-37.8791732
Peranbin Primary College,Violet Town,Capital Works Fund,School upgrades,145.7165018,-36.6342116
Perridak Burron Early Learning Centre,,Building Blocks Inclusion Grant,Early childhood projects,143.9020492,-37.5521306
,,Building Blocks Improvement Grant Building Blocks Improvement Grant – Early Learning Facility Upgrade,Early childhood projects,143.3906074,-36.9847807
Peter Lalor Secondary College,Lalor,Upgrade and Modernisation,School upgrades,145.0142047,-37.6683603
Phillip Island Early Learning Centre,Cowes,Building Blocks Capacity Grant - Expansion,Early childhood projects,145.2434692,-38.45729439999999
Phillip Island Kindergarten,Cowes,Building Blocks Capacity Grant,Early childhood projects,145.2380618,-38.4491126
Phoenix P-12 Community College,Sebastopol,Upgrade and Modernisation - Sports Courts | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,143.832624,-37.5866034
Pines Learning,Doncaster East,Building Blocks Inclusion Grant,Early childhood projects,145.1693016,-37.7605684
Pinewood Child and Family Hub,Mount Waverley,Building Blocks Capacity Grant - Integrated Children’s Centre,Early childhood projects,145.1404972,-37.8892898
Pinewood Primary School,Mount Waverley,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,145.1422208,-37.8901761
Plenty Parklands Primary School,Mill Park,Upgrade and Modernisation | Minor Capital Works Fund | Inclusive Schools Fund | School Pride and Sports Fund,School upgrades,145.0770225,-37.6697432
Plenty Valley Christian College,Doreen,Building Fund for Non-Government Schools – Independent,Non-government grants,145.1400489,-37.6136461
Plenty Valley International Montessori Early Learning Facilities,St Helena,New Early Learning Facility,Early childhood projects,145.1369671,-37.6844136
Plumpton Children's Centre and Neighbourhood House,Fraser Rise,Building Blocks Partnership,Early childhood projects,144.7268092,-37.7097302
Poa Banyul Community Hub,Mount Duneed,Building Blocks Capacity Grant - New Early Learning Centre,Early childhood projects,144.3268629,-38.2249027
Point Cook Prep - Year 9 College,Point Cook,Inclusive Schools Fund,School upgrades,144.7535495,-37.9002643
Point Cook YMCA Early Learning Centre,Point Cook,Building Blocks Inclusion Grant,Early childhood projects,144.726746,-37.893598
Pomonal Primary School,Pomonal,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,142.6087775,-37.193573
Poowong Consolidated School,Poowong,Minor Capital Works Fund,School upgrades,145.7690371,-38.3424345
Poowong Uniting Kindergarten,Poowong,Building Blocks Inclusion Grant,Early childhood projects,145.7649955,-38.3429507
Porepunkah Primary School,Porepunkah,School Improvement Fund,School upgrades,146.9110879,-36.699513
Port Fairy Community Services Centre,Port Fairy,Building Blocks Capacity Grant - Expansion,Early childhood projects,142.2381529,-38.3881522
Port Melbourne Primary School,Port Melbourne,Upgrade and Modernisation | Upgrade and Modernisation - Stage 2,School upgrades,144.933997,-37.8352197
Port Melbourne Secondary College,Port Melbourne,New School,New schools,144.9321868,-37.8323876
Port Phillip Specialist School,Port Melbourne,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.9414672,-37.8365211
Portarlington Primary School,Portarlington,Minor Capital Works Fund,School upgrades,144.6559668,-38.1158267
Portland Bay School,Portland,Schools Upgrade Fund | Inclusive Schools Fund - Round 7 | Upgrade and Modernisation,School upgrades,141.5973358,-38.3461159
Portland Primary School,Portland,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,141.5993173,-38.3475008
